"School Logo","Syllabus","Affiliation Number/Centre code","Medium of School","Contact Person Name","Mobile Number","Website","Latitude","Longitude","Address 1","Address 2","Country","State","City","Pin code","Subject CSV","Teacher CSV","Class CSV","Student CSV"
"/Users/mullai/Documents/Greatify/Automation/School Logo/school logo 1 .jpg","Matriculation","110180","English","Mullai","9000100069","Web60","12.1234","19.1872","Address","Address","India","Tamil Nadu","Chennai","6000","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/SubjectCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/TeacherCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/ClassCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/StudentCsv.csv"
"/Users/mullai/Documents/Greatify/Automation/School Logo/school logo 1 .jpg","Matriculation","110181","English","Mullai","9000100070","Web61","12.1234","19.1872","Address","Address","India","Tamil Nadu","Chennai","6000","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/SubjectCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/TeacherCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/ClassCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/StudentCsv.csv"
"/Users/mullai/Documents/Greatify/Automation/School Logo/school logo 1 .jpg","Matriculation","110182","English","Mullai","9000100071","Web62","12.1234","19.1872","Address","Address","India","Tamil Nadu","Chennai","6000","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/SubjectCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/TeacherCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/ClassCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/StudentCsv.csv"
"/Users/mullai/Documents/Greatify/Automation/School Logo/school logo 1 .jpg","Matriculation","110183","English","Mullai","9000100072","Web63","12.1234","19.1872","Address","Address","India","Tamil Nadu","Chennai","6000","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/SubjectCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/TeacherCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/ClassCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/StudentCsv.csv"
"/Users/mullai/Documents/Greatify/Automation/School Logo/school logo 1 .jpg","Matriculation","110184","English","Mullai","9000100073","Web64","12.1234","19.1872","Address","Address","India","Tamil Nadu","Chennai","6000","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/SubjectCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/TeacherCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/ClassCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/StudentCsv.csv"
"/Users/mullai/Documents/Greatify/Automation/School Logo/school logo 1 .jpg","Matriculation","110185","English","Mullai","9000100074","Web65","12.1234","19.1872","Address","Address","India","Tamil Nadu","Chennai","6000","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/SubjectCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/TeacherCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/ClassCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/StudentCsv.csv"
"/Users/mullai/Documents/Greatify/Automation/School Logo/school logo 1 .jpg","Matriculation","110186","English","Mullai","9000100075","Web66","12.1234","19.1872","Address","Address","India","Tamil Nadu","Chennai","6000","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/SubjectCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/TeacherCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/ClassCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/StudentCsv.csv"
"/Users/mullai/Documents/Greatify/Automation/School Logo/school logo 1 .jpg","Matriculation","110187","English","Mullai","9000100076","Web67","12.1234","19.1872","Address","Address","India","Tamil Nadu","Chennai","6000","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/SubjectCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/TeacherCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/ClassCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/StudentCsv.csv"
"/Users/mullai/Documents/Greatify/Automation/School Logo/school logo 1 .jpg","Matriculation","110188","English","Mullai","9000100077","Web68","12.1234","19.1872","Address","Address","India","Tamil Nadu","Chennai","6000","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/SubjectCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/TeacherCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/ClassCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/StudentCsv.csv"
"/Users/mullai/Documents/Greatify/Automation/School Logo/school logo 1 .jpg","Matriculation","110189","English","Mullai","9000100078","Web69","12.1234","19.1872","Address","Address","India","Tamil Nadu","Chennai","6000","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/SubjectCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/TeacherCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/ClassCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/StudentCsv.csv"
"/Users/mullai/Documents/Greatify/Automation/School Logo/school logo 1 .jpg","Matriculation","110190","English","Mullai","9000100079","Web70","12.1234","19.1872","Address","Address","India","Tamil Nadu","Chennai","6000","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/SubjectCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/TeacherCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/ClassCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/StudentCsv.csv"
"/Users/mullai/Documents/Greatify/Automation/School Logo/school logo 1 .jpg","Matriculation","110191","English","Mullai","9000100080","Web71","12.1234","19.1872","Address","Address","India","Tamil Nadu","Chennai","6000","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/SubjectCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/TeacherCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/ClassCsv.csv","/Users/mullai/Documents/Greatify/Automation/Onboard CSV/StudentCsv.csv"
